Book_Name,Author,Release_Date,Narrator,No_of_Ratings,Language,Score,Price(INR),Audio_Book_Length
Mary Barton,Elizabeth Gaskell,01-08-10,Juliet Stevenson,3,English,4.5,797.0,16:17:00
Acts of Service,Lillian Fishman,29-08-22,Rebecca Lowman,1,English,3.0,621.0,07:20:00
Those Who Leave and Those Who Stay,Elena Ferrante,15-05-15,Hillary Huber,9,English,4.0,820.0,16:43:00
Sphere,Michael Crichton,24-11-15,Scott Brick,19,English,4.0,1008.0,00:00:00
Robot Visions,Isaac Asimov,11-09-15,Graham Winton,3,English,4.5,1172.0,16:48:00
Just One Kiss,Carly Phillips,06-09-22,Samantha Cook,1,English,5.0,867.0,06:14:00
Kargil,Rachna Bisht,19-11-19,Mary Joseph,64,English,4.5,879.0,05:07:00
Kahlil Gibran's Little Book of Love,Neil Douglas-Klotz - editor,01-10-18,Kevin Kenerly,8,English,4.5,468.0,02:10:00
Persuasion,Jane Austen,16-11-22,Yolanda Kettle,0,English,0.0,434.0,09:09:00
Songbirds,Christy Lefteri,08-07-21,Indira Varma,4,English,5.0,1405.0,00:00:00
Stone Blind,Natalie Haynes,15-09-22,Natalie Haynes,2,English,4.5,323.0,08:41:00
Origins of The Wheel of Time,Michael Livingston,10-11-22,Harriet McDougal,0,English,0.0,323.0,09:34:00
Sophie's World,Jostein Gaaardner,16-11-22,Jacob Needleman,0,English,0.0,351.0,02:58:00
Trust,Hernan Diaz,12-05-22,Edoardo Ballerini,4,English,4.0,323.0,10:21:00
Nettle & Bone,T. Kingfisher,25-08-22,Amara Jasper,0,English,0.0,621.0,09:03:00
Nothing Lasts Forever,Sidney Sheldon,23-03-22,Candy Clark,2,English,5.0,468.0,06:12:00
The Metamorphosis,Franz Kafka,11-11-22,Bob Neufeld,0,English,0.0,398.0,02:16:00
Spells for Forgetting,Adrienne Young,27-09-22,Emily Rankin,1,English,5.0,1131.0,11:40:00
The Odyssey,Homer,20-11-18,Claire Danes,32,English,4.5,1506.0,13:32:00
Sister Outsider,Audre Lorde,04-08-20,Pippa Bennett-Warner,4,English,5.0,888.0,06:58:00
The Perfect Run 2,Maxime J. Durand,18-01-22,Eric Michael Summerer,2,English,5.0,1340.0,18:25:00
Making Supers 1,Dante King,22-11-22,Raya Kane,0,English,0.0,1507.0,10:39:00
Crime and Punishment (AmazonClassics Edition),Fyodor Dostoyevsky,11-05-18,James Anderson Foster,11,English,4.5,1338.0,20:43:00
Home,Whitney Hanson,15-09-22,Whitney Hanson,0,English,0.0,233.0,01:31:00
The Singularities,John Banville,25-10-22,Nicholas Guy Smith,0,English,0.0,1131.0,12:55:00
Deepwater Dungeon,Ryan Rimmel,08-11-22,Phil Thron,0,English,0.0,938.0,12:21:00
The Drifter,Nick Petrie,09-05-22,Stephen Mendel,0,English,0.0,803.0,09:12:00
Great Circle,Maggie Shipstead,05-05-21,Cassandra Campbell,12,English,4.5,1093.0,01:16:00
Bond of a Dragon: Publisher's Pack,AJ Walker,29-12-20,Ben Farrow,0,English,0.0,1507.0,22:58:00
Beloved,Toni Morrison,22-05-06,Toni Morrison,17,English,4.0,1131.0,12:03:00
Maps of Our Spectacular Bodies,Maddie Mortimer,31-03-22,Lydia Wilson,1,English,4.0,323.0,12:20:00
Keep It in the Family,John Marrs,18-10-22,Elizabeth Knowelden,0,English,0.0,1008.0,10:03:00
The Name of the Rose,Umberto Eco,29-12-10,Sean Barrett,0,English,0.0,888.0,20:34:00
Just What I Needed,Kylie Scott,08-11-22,Andi Arndt,0,English,0.0,352.0,02:06:00
1984,George Orwell,31-05-21,Benjamin May,9,English,4.5,736.0,10:30:00
Network Effect,Martha Wells,05-05-20,Kevin R. Free,21,English,4.5,938.0,12:48:00
The Women of Troy,Pat Barker,26-08-21,Kristin Atherton,1,English,5.0,888.0,12:18:00
Demon's Throne,K.D. Robertson,22-11-22,Stephanie Savannah,0,English,0.0,1507.0,15:38:00
Hello Bastar,Rahul Pandita,01-01-17,P. J. Ochlan,33,English,4.5,284.0,05:15:00
The Magnolia Inn,Anne-Marie Meyer,27-04-20,Liz Krane,1,English,5.0,668.0,06:10:00
The Sense of an Ending,Julian Barnes,04-08-11,Richard Morant,50,English,4.5,467.0,04:37:00
The Unabridged Journals of Sylvia Plath,Sylvia Plath,28-05-19,Tanya Eby,2,English,4.5,1055.0,06:26:00
The Hippopotamus,Stephen Fry,02-09-10,Stephen Fry,7,English,4.5,683.0,09:01:00
Nothing is forever 1 (French edition),Ninie C.,24-11-22,Stéphane Colin,0,french,0.0,679.0,04:24:00
Vigil's Valor,James A. Hunter,15-11-22,Luke Daniels,0,English,0.0,1675.0,15:03:00
The Rabbit Hutch,Tess Gunty,25-08-22,Kirby Heyborne,1,English,5.0,621.0,11:52:00
The Fiery Cross: International Edition,Diana Gabaldon,13-10-20,Davina Porter,4,English,5.0,1407.0,08:01:00
She and Her Cat,Makoto Shinkai,06-10-22,Hana Teraie-Wood,0,English,0.0,888.0,04:07:00
The Last White Man,Mohsin Hamid,28-09-22,Mohsin Hamid,1,English,4.0,879.0,03:05:00
The Zoya Factor,Anuja Chauhan,26-01-17,Meetu Chilana,38,English,4.0,382.0,13:41:00
Demon Copperhead,Barbara Kingsolver,18-10-22,Charlie Thurston,0,English,0.0,873.0,21:03:00
1984,George Orwell,15-12-21,Hugh Kermode,2,English,2.5,38.0,10:59:00
Watchers,Dean Koontz,15-05-18,Edoardo Ballerini,4,English,4.0,1055.0,16:31:00
Last Train to Istanbul,Ayse Kulin,08-10-13,Sanjiv Jhaveri,6,English,4.0,1008.0,12:09:00
"Hitched, Vol. 2",Kendall Ryan,18-08-16,Alexander Cendese,12,English,3.5,585.0,03:28:00
Madame Bovary,Gustave Flaubert,30-04-10,Ronald Pickup,3,English,4.5,873.0,15:22:00
"EMPEROR: The Field of Swords, Book 3 (Unabridged)",Conn Iggulden,12-03-09,Paul Blake,2,English,5.0,797.0,17:35:00
Persepolis Rising,James S. A. Corey,07-12-17,Jefferson Mays,14,English,5.0,932.0,20:34:00
The Daughter of Doctor Moreau,Silvia Moreno-Garcia,19-07-22,Gisela Chípe,0,English,0.0,835.0,11:39:00
